timetamp,iopv,time,date,iopv_lag
58:12.0,3.898,13:58:12,4/20/2020,3.897
58:42.0,3.899,13:58:42,4/20/2020,3.898
58:57.0,3.898,13:58:57,4/20/2020,3.899
59:12.0,3.899,13:59:12,4/20/2020,3.898
00:30.0,3.9,00:30.0,4/20/2020,3.899
00:45.0,3.899,00:45.0,4/20/2020,3.9
01:00.0,3.9,01:00.0,4/20/2020,3.899
02:00.0,3.899,14:02:00,4/20/2020,3.9
03:15.0,3.9,03:15.0,4/20/2020,3.899
03:30.0,3.899,03:30.0,4/20/2020,3.9
04:45.0,3.9,14:04:45,4/20/2020,3.899
05:30.0,3.901,14:05:30,4/20/2020,3.9
06:18.0,3.902,14:06:18,4/20/2020,3.901
06:33.0,3.901,14:06:33,4/20/2020,3.902
06:48.0,3.902,14:06:48,4/20/2020,3.901
07:03.0,3.901,14:07:03,4/20/2020,3.902
07:33.0,3.902,07:33.0,4/20/2020,3.901
08:33.0,3.901,08:33.0,4/20/2020,3.902
08:48.0,3.902,14:08:48,4/20/2020,3.901
09:18.0,3.901,14:09:18,4/20/2020,3.902
09:33.0,3.902,14:09:33,4/20/2020,3.901
10:03.0,3.903,10:03.0,4/20/2020,3.902
10:18.0,3.902,10:18.0,4/20/2020,3.903
10:33.0,3.903,10:33.0,4/20/2020,3.902
10:48.0,3.904,10:48.0,4/20/2020,3.903
11:18.0,3.905,11:18.0,4/20/2020,3.904
11:48.0,3.904,14:11:48,4/20/2020,3.905
12:48.0,3.901,14:12:48,4/20/2020,3.904
15:06.0,3.9,15:06.0,4/20/2020,3.901
16:36.0,3.899,14:16:36,4/20/2020,3.9
17:51.0,3.9,17:51.0,4/20/2020,3.899
18:36.0,3.901,14:18:36,4/20/2020,3.9
19:24.0,3.902,14:19:24,4/20/2020,3.901
19:54.0,3.903,14:19:54,4/20/2020,3.902
21:39.0,3.904,21:39.0,4/20/2020,3.903
21:54.0,3.903,21:54.0,4/20/2020,3.904
22:09.0,3.904,14:22:09,4/20/2020,3.903
22:39.0,3.902,14:22:39,4/20/2020,3.904
23:24.0,3.903,23:24.0,4/20/2020,3.902
23:54.0,3.902,23:54.0,4/20/2020,3.903
24:09.0,3.903,24:09.0,4/20/2020,3.902
25:42.0,3.902,25:42.0,4/20/2020,3.903
25:57.0,3.903,25:57.0,4/20/2020,3.902
26:57.0,3.902,14:26:57,4/20/2020,3.903
27:12.0,3.903,14:27:12,4/20/2020,3.902
29:12.0,3.904,14:29:12,4/20/2020,3.903
31:00.0,3.902,14:31:00,4/20/2020,3.904
31:30.0,3.901,31:30.0,4/20/2020,3.902
32:00.0,3.902,32:00.0,4/20/2020,3.901
32:30.0,3.901,32:30.0,4/20/2020,3.902
32:45.0,3.9,32:45.0,4/20/2020,3.901
33:15.0,3.901,14:33:15,4/20/2020,3.9
33:30.0,3.9,14:33:30,4/20/2020,3.901
34:15.0,3.901,34:15.0,4/20/2020,3.9
34:30.0,3.9,34:30.0,4/20/2020,3.901
35:15.0,3.899,35:15.0,4/20/2020,3.9
36:15.0,3.9,14:36:15,4/20/2020,3.899
40:18.0,3.901,14:40:18,4/20/2020,3.9
40:33.0,3.9,14:40:33,4/20/2020,3.901
40:48.0,3.899,14:40:48,4/20/2020,3.9
42:18.0,3.9,42:18.0,4/20/2020,3.899
